54,37
54,55
54,76
54,106
54,167
54,227
54,257
54,289
54,316
73,37
73,76
73,106
73,168
73,228
73,257
73,288
73,317
103,37
103,55
103,76
103,106
103,136
103,166
103,187
103,225
103,254
103,288
103,318
133,37
133,76
133,106
133,137
133,166
133,197
133,226
133,258
133,287
133,317
161,37
161,55
161,76
161,106
161,136
161,198
161,229
161,259
161,288
161,317
192,37
192,55
192,75
192,106
192,136
192,198
192,228
192,255
192,289
192,316
222,37
222,77
222,106
222,137
222,165
222,197
222,226
222,257
222,284
222,319
252,37
252,56
252,76
252,106
252,135
252,166
252,194
252,225
252,254
252,285
252,317
282,37
282,77
282,106
282,166
282,228
282,318
282,258
282,289
301,37
301,55
301,75
301,106
301,167
301,229
301,256
301,288
301,317
